epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5777,1.64429,2.54179,1.46763,0.73772,0.61129,0.6307,0.42022,1.31352,1.30119,1.22504,0.00013622,0.00013622,0.00013622
2,88.4252,1.21955,1.06396,1.19923,0.81982,0.73265,0.8208,0.54654,1.17659,0.85738,1.12795,0.000274312,0.000274312,0.000274312
3,135.108,1.1639,0.88871,1.14677,0.82698,0.86956,0.88976,0.5967,1.26943,0.89633,1.19414,0.000411486,0.000411486,0.000411486
4,178.064,1.10523,0.80295,1.12058,0.86565,0.88572,0.90345,0.64335,1.01248,0.72986,1.04538,0.000412872,0.000412872,0.000412872
5,252.65,1.0714,0.7576,1.10319,0.90102,0.89938,0.92955,0.66735,1.07222,0.68173,1.07678,0.000411496,0.000411496,0.000411496
6,322.885,1.0412,0.71045,1.09516,0.91943,0.92311,0.94311,0.6711,1.1584,0.66495,1.11277,0.000410119,0.000410119,0.000410119
7,365.16,1.01163,0.66531,1.07065,0.91352,0.91928,0.93854,0.66926,1.10438,0.63743,1.08547,0.000408743,0.000408743,0.000408743
8,391.874,1.00742,0.65719,1.07451,0.92076,0.92398,0.9339,0.68368,0.99654,0.59493,1.03465,0.000407367,0.000407367,0.000407367
9,413.058,0.99558,0.64165,1.06231,0.92292,0.92579,0.92655,0.69696,0.86191,0.55759,0.97429,0.000405991,0.000405991,0.000405991
10,435.067,0.96484,0.60833,1.04723,0.88889,0.93518,0.94576,0.71707,0.86011,0.5487,0.98706,0.000404615,0.000404615,0.000404615
11,455.518,0.95744,0.61081,1.04989,0.8812,0.95524,0.94654,0.71834,0.8993,0.54432,0.99013,0.000403239,0.000403239,0.000403239
12,492.809,0.95428,0.58951,1.04415,0.91705,0.91614,0.93748,0.72457,0.82357,0.54819,0.97143,0.000401863,0.000401863,0.000401863
13,544.717,0.94039,0.57256,1.04088,0.91748,0.93936,0.93978,0.68625,1.05231,0.5512,1.05363,0.000400487,0.000400487,0.000400487
14,582.538,0.91762,0.55834,1.022,0.94264,0.93832,0.954,0.73419,0.85308,0.51158,0.96173,0.000399111,0.000399111,0.000399111
15,603.538,0.91896,0.55515,1.02534,0.92246,0.93289,0.94705,0.7293,0.8464,0.54241,0.96634,0.000397735,0.000397735,0.000397735
16,624.378,0.91606,0.5591,1.02582,0.928,0.91128,0.94264,0.7257,0.83589,0.51291,0.96097,0.000396358,0.000396358,0.000396358
17,645.733,0.92334,0.56432,1.03377,0.93465,0.93714,0.95037,0.72825,0.85143,0.50758,0.9674,0.000394982,0.000394982,0.000394982
18,665.175,0.93893,0.56419,1.03703,0.92264,0.93458,0.94831,0.72101,0.85259,0.51362,0.96323,0.000393606,0.000393606,0.000393606
19,684.668,0.93878,0.55408,1.03449,0.93372,0.93673,0.94919,0.73505,0.86544,0.50169,0.97087,0.00039223,0.00039223,0.00039223
20,707.824,0.88767,0.53539,1.01971,0.94333,0.93182,0.95574,0.74575,0.83811,0.50464,0.9654,0.000390854,0.000390854,0.000390854
21,761.141,0.89784,0.53992,1.02093,0.93344,0.94695,0.95502,0.7297,0.86434,0.49701,0.96898,0.000389478,0.000389478,0.000389478
22,794.872,0.91058,0.52956,1.02415,0.93221,0.94172,0.95329,0.74201,0.8162,0.4947,0.95525,0.000388102,0.000388102,0.000388102
23,816.358,0.87153,0.52532,1.00905,0.90034,0.92445,0.93203,0.71122,0.79189,0.52308,0.94271,0.000386726,0.000386726,0.000386726
